id,name,address,city,state,zipcode,phone_number,email,createdAt,updatedAt,,,
1,Lion Friett,42 Bowman Plaza,Huntsville,Alabama,58539,812-680-3985,lfriett0@netlog.com,2021-04-15 05:00:25,2021-04-15 05:00:25,,,"INSERT INTO customers VALUES('1' ,'Lion Friett','42 Bowman Plaza','Huntsville','Alabama','58539','812-680-3985','lfriett0@netlog.com','2021-04-15 05:00:25','2021-04-15 05:00:25')"
2,Bernadene Broadbear,3446 Hudson Parkway,Topi,Alaska,58323,887-582-2296,bbroadbear1@goodreads.com,2021-04-15 05:00:26,2021-04-15 05:00:26,,,"INSERT INTO customers VALUES('2' ,'Bernadene Broadbear','3446 Hudson Parkway','Topi','Alaska','58323','887-582-2296','bbroadbear1@goodreads.com','2021-04-15 05:00:26','2021-04-15 05:00:26')"
3,Xenia Easby,535 Maple Crossing,Cullman,Arizona,23232,744-181-9741,xeasby2@dmoz.org,2021-04-15 05:00:27,2021-04-15 05:00:27,,,"INSERT INTO customers VALUES('3' ,'Xenia Easby','535 Maple Crossing','Cullman','Arizona','23232','744-181-9741','xeasby2@dmoz.org','2021-04-15 05:00:27','2021-04-15 05:00:27')"
4,Julianne Perree,62 Oak Valley Terrace,El Triunfo,Arkansas,45454,951-545-6390,jperree3@unicef.org,2021-04-15 05:00:28,2021-04-15 05:00:28,,,"INSERT INTO customers VALUES('4' ,'Julianne Perree','62 Oak Valley Terrace','El Triunfo','Arkansas','45454','951-545-6390','jperree3@unicef.org','2021-04-15 05:00:28','2021-04-15 05:00:28')"
5,Georgeanne Mousby,1 Swallow Street,Montomery,California,23454,394-129-1531,gmousby4@bravesites.com,2021-04-15 05:00:29,2021-04-15 05:00:29,,,"INSERT INTO customers VALUES('5' ,'Georgeanne Mousby','1 Swallow Street','Montomery','California','23454','394-129-1531','gmousby4@bravesites.com','2021-04-15 05:00:29','2021-04-15 05:00:29')"
6,Dinnie Attle,2 Algoma Pass,Danauparis,Colorado,23453,824-696-5906,dattle5@elegantthemes.com,2021-04-15 05:00:30,2021-04-15 05:00:30,,,"INSERT INTO customers VALUES('6' ,'Dinnie Attle','2 Algoma Pass','Danauparis','Colorado','23453','824-696-5906','dattle5@elegantthemes.com','2021-04-15 05:00:30','2021-04-15 05:00:30')"
7,Tyson Pipe,54 Sunnyside Road,Auburn ,Delware,34564,794-576-3953,tpipe6@ox.ac.uk,2021-04-15 05:00:31,2021-04-15 05:00:31,,,"INSERT INTO customers VALUES('7' ,'Tyson Pipe','54 Sunnyside Road','Auburn ','Delware','34564','794-576-3953','tpipe6@ox.ac.uk','2021-04-15 05:00:31','2021-04-15 05:00:31')"
8,Franzen Defty,32 Express Hill,Lyon,Connecticut,34256,805-628-7997,fdefty7@icq.com,2021-04-15 05:00:32,2021-04-15 05:00:32,,,"INSERT INTO customers VALUES('8' ,'Franzen Defty','32 Express Hill','Lyon','Connecticut','34256','805-628-7997','fdefty7@icq.com','2021-04-15 05:00:32','2021-04-15 05:00:32')"
9,Freeman Murcutt,51154 Fulton Plaza,Ystad,New York,35436,258-202-9091,fmurcutt8@studiopress.com,2021-04-15 05:00:33,2021-04-15 05:00:33,,,"INSERT INTO customers VALUES('9' ,'Freeman Murcutt','51154 Fulton Plaza','Ystad','New York','35436','258-202-9091','fmurcutt8@studiopress.com','2021-04-15 05:00:33','2021-04-15 05:00:33')"
10,Ferrel Habin,44 Northview Park,Hoover,Michigan,49304,609-215-0897,fhabin9@mail.ru,2021-04-15 05:00:34,2021-04-15 05:00:34,,,"INSERT INTO customers VALUES('10' ,'Ferrel Habin','44 Northview Park','Hoover','Michigan','49304','609-215-0897','fhabin9@mail.ru','2021-04-15 05:00:34','2021-04-15 05:00:34')"
